id,symbol,verdict,side,signal_ts,entry_price,size,confidence,regime,strategy,htf,z_score,bayes,cvd,ofi,atr,atr_pct,stop_loss,take_profit,mfe_pct,mae_pct,mfe_r,mae_r,exit_ts,exit_price,pnl,outcome
1,ETHUSDT,SELL,sell,23:33:16,1694.15,,0.64,VOLATILE,,BEAR,0.45,0.7132,,,,0.0057399999999999994,1717.94,1637.71,0.2391,-0.2532,0.1702,-0.1803,23:53:27,1690.0,0.34,TIME_EXIT
2,ETHUSDT,SELL,sell,00:09:55,1683.59,0.094,0.63,VOLATILE,TREND,BEAR,0.11,0.6843,-121106.0,-0.2,9.73,0.005580000000000001,1708.89,1640.48,0.5815,-0.607,0.387,-0.404,00:30:05,1675.33,0.78,TIME_EXIT
3,BTCUSDT,SELL,sell,00:33:41,62599.0,0.003,0.68,VOLATILE,TREND,BEAR,-2.18,0.7548999999999999,-128551.0,-0.2,9.42,0.0040100000000000005,63196.49,61132.38,0.2037,-0.052,0.2134,-0.0545,00:53:46,62515.3,0.25,TIME_EXIT
4,SOLUSDT,SELL,sell,00:35:44,65.68,1.89,0.76,VOLATILE,TREND,BEAR,-0.97,0.7517,-16056.0,-0.4,251.15,0.00644,66.79,63.3,0.3045,0.0,0.1802,0.0,00:49:43,65.29,0.74,WIN
5,ETHUSDT,SELL,sell,00:36:35,1666.98,0.07,0.71,VOLATILE,TREND,BEAR,-1.06,0.7779,-3218245.0,-0.3,0.42,0.00647,1695.99,1606.85,0.3101,-0.108,0.1782,-0.062,00:56:44,1663.62,0.24,TIME_EXIT
6,SOLUSDT,SELL,sell,00:54:48,65.49,1.79,0.68,VOLATILE,TREND,BEAR,-0.91,0.6631999999999999,-175399.0,-0.1,10.81,0.00653,66.59,63.06,0.2596,-0.6413,0.1545,-0.3818,01:34:56,65.99,-0.9,TIME_EXIT
7,BTCUSDT,SELL,sell,00:57:21,62518.3,0.003,0.67,VOLATILE,TREND,BEAR,-1.48,0.7334999999999999,-3284013.0,0.1,0.43,0.0039900000000000005,63129.03,61073.03,0.032,-0.4598,0.0327,-0.4707,01:37:37,62743.6,-0.68,TIME_EXIT
8,ETHUSDT,SELL,sell,01:02:53,1665.71,0.072,0.69,VOLATILE,TREND,BEAR,-0.82,0.7531,-14054.0,-0.1,249.21,0.0064600000000000005,1692.42,1603.72,0.4569,-0.35,0.2849,-0.2183,01:42:59,1669.15,-0.25,TIME_EXIT
9,SOLUSDT,SELL,sell,01:47:59,65.93,2.74,0.72,VOLATILE,TREND,BEAR,-0.53,0.7104,-145096.0,0.1,10.75,0.00616,66.62,64.15,0.3337,-0.1213,0.3188,-0.1159,02:18:45,65.65,0.77,TIME_EXIT
10,ETHUSDT,SELL,sell,01:51:08,1666.73,0.106,0.72,VOLATILE,TREND,BEAR,-0.52,0.7835,-2943888.0,0.0,0.41,0.00601,1687.98,1625.09,0.1956,-0.261,0.1534,-0.2047,02:18:40,1663.96,0.29,TIME_EXIT
11,ETHUSDT,SELL,sell,02:20:42,1660.72,0.115,0.67,VOLATILE,TREND,BEAR,-0.98,0.7290000000000001,-76425.0,0.1,10.03,0.0058,1680.07,1623.01,0.336,-0.1656,0.2884,-0.1421,02:40:47,1657.76,0.34,TIME_EXIT
12,SOLUSDT,SELL,sell,02:21:19,65.59,2.84,0.66,VOLATILE,TREND,BEAR,-0.78,0.6435,-103838.0,0.1,9.65,0.00594,66.42,64.11,0.0762,-0.4116,0.0602,-0.3253,03:01:35,65.91,-0.91,TIME_EXIT
13,ETHUSDT,SELL,sell,04:25:35,1667.15,0.17,0.64,TREND,TREND,BEAR,-0.61,0.7145999999999999,-3010133.0,0.1,0.39,0.00483,1679.51,1638.56,0.108,-0.135,0.1456,-0.182,04:34:35,1679.18,-2.05,LOSS
14,BTCUSDT,BUY,buy,04:59:30,63246.2,0.003,0.66,VOLATILE,TREND,BULL,0.81,0.7284999999999999,-143759.0,-0.1,8.06,0.00364,62643.2,64542.69,0.1006,-0.2476,0.1055,-0.2597,05:19:43,63293.5,0.14,TIME_EXIT
15,SOLUSDT,BUY,buy,05:16:31,67.05,1.77,0.7,VOLATILE,TREND,BULL,1.08,0.8493,-9439.0,0.4,230.24,0.00625,65.98,69.44,0.2088,-0.2535,0.1308,-0.1589,05:36:47,67.27,0.35,TIME_EXIT
16,ETHUSDT,BUY,buy,05:27:39,1688.64,0.086,0.67,VOLATILE,TREND,BULL,0.9,0.728,-2466220.0,0.3,0.42,0.005520000000000001,1666.29,1743.22,0.1291,-0.0651,0.0975,-0.0492,05:47:53,1690.67,0.17,TIME_EXIT
17,SOLUSDT,BUY,buy,05:42:10,67.2,2.53,0.73,VOLATILE,TREND,BULL,1.06,0.8874,-5501.0,0.2,9.33,0.00603,66.28,68.89,0.1935,-0.119,0.1413,-0.087,06:18:40,67.32,0.3,TIME_EXIT
18,BTCUSDT,MEAN_REVERSAL_LONG,buy,09:31:34,62716.3,0.005,0.66,RANGE,TREND,BEAR,-1.73,0.6584,-2323052.0,0.4,0.4,0.0032500000000000003,62540.25,63015.83,0.1724,-0.1859,0.614,-0.6623,10:01:50,62724.0,0.02,TIME_EXIT
