id,symbol,verdict,side,signal_ts,entry_price,size,confidence,regime,strategy,htf,z_score,bayes,cvd,ofi,atr,atr_pct,stop_loss,take_profit,mfe_pct,mae_pct,mfe_r,mae_r,exit_ts,exit_price,pnl,outcome
1,SOLUSDT,MEAN_REVERSAL_SHORT,sell,21:16:39,67.95,3.76,0.28,RANGE,,BULL,1.44,0.3099,,,,0.005889999999999999,68.42,67.1,0.0,0.0,,,21:21:48,67.8,0.56,TIME_EXIT
2,ETHUSDT,BUY,buy,21:36:01,1711.15,0.084,0.63,VOLATILE,MEAN_REVERSION,BULL,1.49,0.6966,-2720917.0,-0.1,0.4,0.005430000000000001,1684.0,1760.54,0.0,0.0,,,21:48:18,1707.25,-0.33,TIME_EXIT
3,SOLUSDT,MEAN_REVERSAL_SHORT,sell,21:47:08,67.77,4.66,0.33,RANGE,TREND,BULL,1.08,0.3615,-71230.0,0.3,9.28,0.00557,68.22,67.15,0.0,0.0,,,21:52:14,67.69,0.37,TIME_EXIT
4,SOLUSDT,MEAN_REVERSAL_SHORT,sell,21:54:20,67.64,4.67,0.3,RANGE,MEAN_REVERSION,BULL,1.08,0.3371,-2878118.0,-0.1,0.38,0.00557,68.22,67.15,0.0,0.0,,,21:59:25,67.55,0.42,TIME_EXIT
5,SOLUSDT,MEAN_REVERSAL_SHORT,sell,22:01:22,67.18,4.7,0.29,VOLATILE,MEAN_REVERSION,BULL,1.43,0.3371,-2878436.0,-0.0,0.38,0.00526,68.22,67.15,0.0,0.0,,,22:01:43,67.16,0.0,LOSS
6,SOLUSDT,SELL,sell,22:04:01,67.22,2.26,0.32,VOLATILE,MEAN_REVERSION,BULL,0.5,0.4439,-2882101.0,-0.1,0.38,0.0059299999999999995,67.97,65.37,0.0,0.0,,,22:10:47,67.09,0.29,WIN
7,SOLUSDT,SELL,sell,22:18:23,66.96,2.35,0.36,VOLATILE,TREND,BEAR,0.32,0.48729999999999996,-2835521.0,-0.2,0.4,0.00588,67.77,65.27,0.0,0.0,,,,,,OPEN
