id,symbol,verdict,side,signal_ts,entry_price,size,confidence,regime,strategy,htf,z_score,bayes,cvd,ofi,atr,atr_pct,stop_loss,take_profit,mfe_pct,mae_pct,mfe_r,mae_r,exit_ts,exit_price,pnl,outcome
1,ETHUSDT,SELL,sell,04:25:35,1667.15,0.17,0.64,TREND,,BEAR,-0.61,0.7145999999999999,,,,0.00483,1679.51,1638.56,0.0,0.0,,,04:34:35,1679.18,-2.05,LOSS
2,BTCUSDT,BUY,buy,04:59:30,63246.2,0.003,0.66,VOLATILE,TREND,BULL,0.81,0.7284999999999999,-143759.0,-0.1,8.06,0.00364,62643.2,64542.69,0.0,0.0,,,05:19:43,63293.5,0.14,TIME_EXIT
3,SOLUSDT,BUY,buy,05:16:31,67.05,1.77,0.7,VOLATILE,TREND,BULL,1.08,0.8493,-9439.0,0.4,230.24,0.00625,65.98,69.44,0.0,0.0,,,05:36:47,67.27,0.35,TIME_EXIT
4,ETHUSDT,BUY,buy,05:27:39,1688.64,0.086,0.67,VOLATILE,TREND,BULL,0.9,0.728,-2466220.0,0.3,0.42,0.005520000000000001,1666.29,1743.22,0.0,0.0,,,05:47:53,1690.67,0.17,TIME_EXIT
5,SOLUSDT,BUY,buy,05:42:10,67.2,2.53,0.73,VOLATILE,TREND,BULL,1.06,0.8874,-5501.0,0.2,9.33,0.00603,66.28,68.89,0.0,0.0,,,06:18:40,67.32,0.3,TIME_EXIT
