id,symbol,verdict,side,signal_ts,entry_price,size,confidence,regime,strategy,htf,z_score,bayes,cvd,ofi,atr,atr_pct,stop_loss,take_profit,mfe_pct,mae_pct,mfe_r,mae_r,exit_ts,exit_price,pnl,outcome
1,ETHUSDT,BUY,buy,2026-06-07T23:30:42.976636068Z,1683.61,0.052,0.65,VOLATILE,,BULL,0.29,0.721,,,,0.00943,1640.4,1750.33,0.0,0.0,,,2026-06-08T01:31:16.032104990Z,1670.94,-0.66,LOSS
2,BTCUSDT,BUY,buy,2026-06-08T01:58:48.744544583Z,63143.7,0.002,0.67,VOLATILE,TREND,BULL,0.35,0.7395,-468574.0,0.4,15.78,0.00642,62323.82,64924.82,0.0,0.0,,,04:42:15,62710.0,-0.87,LOSS
3,BTCUSDT,MEAN_REVERSAL_LONG,buy,05:20:39,62588.0,0.005,0.66,RANGE,TREND,BEAR,-1.62,0.7365,-28645.0,0.4,405.35,0.0052,62256.11,63071.16,0.0,0.0,,,05:42:43,62407.9,-0.18,LOSS
